타임스탬프,희망하는 진로가 무엇인가요?,희망하는 학과가 무엇인가요? (ex. 기계공학과),희망하는 진로를 선택한 이유,카톡 아이디
2024. 6. 8 오후 6:19:16,공학/ 자연/ 메디컬,인공지능학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:19:27,예체능,미대,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:19:44,공학/ 자연/ 메디컬,생명공학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:20:06,공학/ 자연/ 메디컬,약학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:20:48,공학/ 자연/ 메디컬,로봇공학과,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:21:05,공학/ 자연/ 메디컬,물리치료학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:21:33,예체능,축구마켓팅과,그냥,
2024. 6. 8 오후 6:21:43,인문계열 / 사회계열,미디어커뮤니케이션학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:22:12,공학/ 자연/ 메디컬,생명공학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:22:27,공학/ 자연/ 메디컬,화학공학과,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:22:53,공학/ 자연/ 메디컬,수학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:23:06,인문계열 / 사회계열,경영학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:23:24,교육계열,초등교육학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:23:26,인문계열 / 사회계열,영어영문학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:23:50,공학/ 자연/ 메디컬,수의학과,멋잇는 거 같아서,
2024. 6. 8 오후 6:24:57,공학/ 자연/ 메디컬,화학과,돈을 많이 벌고 싶어서,
2024. 6. 8 오후 6:25:23,공학/ 자연/ 메디컬,환경공학과,적성이 맞는 거 같아서,
2024. 6. 8 오후 6:34:56,공학/ 자연/ 메디컬,항공우주공확과,적성이 맞는 거 같아서,Jiho111108
2024. 6. 8 오후 6:41:50,인문계열 / 사회계열,경찰행정학과,적성이 맞는 거 같아서,kyuri20111005
2024. 6. 8 오후 6:49:42,공학/ 자연/ 메디컬,항공운항과,돈을 많이 벌고 싶어서,Itzmeroyu
2024. 6. 8 오후 7:06:04,예체능,조리학과,적성이 맞는 거 같아서,Huijun1017
2024. 6. 8 오후 7:06:05,인문계열 / 사회계열,베트남어과/국어국문학과/일본어과,적성이 맞는 거 같아서,yu0929jin
2024. 6. 17 오후 7:16:36,공학/ 자연/ 메디컬,컴퓨터 공학과,돈을 많이 벌고 싶어서,111
2024. 6. 17 오후 7:17:44,공학/ 자연/ 메디컬,약학과 ,그냥,
2024. 6. 17 오후 7:18:44,인문계열 / 사회계열,경제학과,돈을 많이 벌고 싶어서,
2024. 6. 17 오후 7:19:31,공학/ 자연/ 메디컬,의예과,부모님의 추천으로,
2024. 6. 17 오후 7:33:56,인문계열 / 사회계열,역사학과 ,적성이 맞는 거 같아서,
2024. 6. 17 오후 7:34:54,공학/ 자연/ 메디컬,생명학과 ,적성이 맞는 거 같아서,
2024. 6. 17 오후 7:35:20,공학/ 자연/ 메디컬,물리학과 ,멋잇는 거 같아서,구슬아
2024. 6. 17 오후 7:35:53,공학/ 자연/ 메디컬,간호학과 ,부모님의 추천으로,김태웅ㅇ
2024. 6. 17 오후 7:36:14,교육계열,역사학과 ,멋잇는 거 같아서,11
2024. 6. 17 오후 7:37:15,인문계열 / 사회계열,법대,멋잇는 거 같아서,
2024. 6. 17 오후 7:38:02,인문계열 / 사회계열,경찰행정학과 ,멋잇는 거 같아서,kimtaeung
2024. 6. 17 오후 7:38:42,인문계열 / 사회계열,심리학과 ,그냥,
2024. 6. 17 오후 7:39:15,인문계열 / 사회계열,철학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 7:40:09,공학/ 자연/ 메디컬,인공지능학과 ,그냥,
2024. 6. 17 오후 7:43:21,인문계열 / 사회계열,경영학과 ,적성이 맞는 거 같아서,
2024. 6. 17 오후 7:43:49,인문계열 / 사회계열,지리학과 ,돈을 많이 벌고 싶어서,
2024. 6. 17 오후 7:44:30,교육계열,수학과 ,멋잇는 거 같아서,선영쌤 지망
2024. 6. 17 오후 7:46:36,인문계열 / 사회계열,토목공학과,그냥,
2024. 6. 17 오후 7:46:47,공학/ 자연/ 메디컬,환경공학,부모님의 추천으로,
2024. 6. 17 오후 7:47:37,인문계열 / 사회계열,도시학과 ,돈을 많이 벌고 싶어서,
2024. 6. 17 오후 7:48:26,인문계열 / 사회계열,회계학과 ,그냥,
2024. 6. 17 오후 7:48:42,공학/ 자연/ 메디컬,게임디자인학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 7:49:24,공학/ 자연/ 메디컬,물리치료학과 ,그냥,
2024. 6. 17 오후 7:50:18,교육계열,초등교육학과 ,적성이 맞는 거 같아서,
2024. 6. 17 오후 7:51:44,공학/ 자연/ 메디컬,산업공학과 ,돈을 많이 벌고 싶어서,
2024. 6. 17 오후 7:51:55,공학/ 자연/ 메디컬,주거환경학과,멋잇는 거 같아서,
2024. 6. 17 오후 7:52:06,공학/ 자연/ 메디컬,건축공학과,멋잇는 거 같아서,
2024. 6. 17 오후 7:52:17,공학/ 자연/ 메디컬,건축학과,부모님의 추천으로,
2024. 6. 17 오후 7:52:53,예체능,패션디자인학과,적성이 맞는 거 같아서,
2024. 6. 17 오후 7:53:05,예체능,산업디자인학과 ,돈을 많이 벌고 싶어서,
2024. 6. 17 오후 7:53:24,공학/ 자연/ 메디컬,신소재공학과 ,부모님의 추천으로,
2024. 6. 17 오후 7:53:40,예체능,인테리어 디자인 학과,멋잇는 거 같아서,
2024. 6. 17 오후 7:54:40,교육계열,중등 교육 학과,멋잇는 거 같아서,
2024. 6. 17 오후 7:54:58,교육계열,체육 교육 학과 ,그냥,
2024. 6. 17 오후 7:56:17,공학/ 자연/ 메디컬,물리치료학과,그냥,
2024. 6. 17 오후 7:57:14,공학/ 자연/ 메디컬,전기전자공학과 ,돈을 많이 벌고 싶어서,
2024. 6. 17 오후 7:57:42,인문계열 / 사회계열,행정학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 7:58:10,교육계열,사회학과 ,멋잇는 거 같아서,하하
2024. 6. 17 오후 7:58:45,예체능,산업디자인학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 7:59:20,공학/ 자연/ 메디컬,약대 ,적성이 맞는 거 같아서,
2024. 6. 17 오후 8:00:25,공학/ 자연/ 메디컬,항공우주학과 ,적성이 맞는 거 같아서,
2024. 6. 17 오후 8:00:49,공학/ 자연/ 메디컬,차동차공학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 8:01:13,공학/ 자연/ 메디컬,심리치료학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 8:02:07,교육계열,중등 교육 학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 8:03:36,공학/ 자연/ 메디컬,방사선 기술 학과 ,멋잇는 거 같아서,
2024. 6. 17 오후 8:04:06,예체능,산업 디자인 학과 ,돈을 많이 벌고 싶어서,
2024. 6. 18 오전 12:13:22,교육계열,수학학과 ,부모님의 추천으로,
2024. 6. 18 오전 12:13:35,예체능,태권도학과,적성이 맞는 거 같아서,
2024. 6. 18 오전 12:13:55,인문계열 / 사회계열,경제학과,돈을 많이 벌고 싶어서,
2024. 6. 18 오전 12:14:20,공학/ 자연/ 메디컬,신소재공학과,그냥,
2024. 6. 18 오전 12:14:31,교육계열,초등 교육 학과,적성이 맞는 거 같아서,
2024. 6. 18 오전 12:14:53,공학/ 자연/ 메디컬,의대,돈을 많이 벌고 싶어서,
2024. 6. 18 오전 12:15:07,공학/ 자연/ 메디컬,약학과 ,부모님의 추천으로,
2024. 6. 18 오전 12:15:19,공학/ 자연/ 메디컬,인공지능학과,적성이 맞는 거 같아서,
